SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,0.561429153,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,1.973852647,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,2.12597086,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,2.053164999,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,1.43681957,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,0.740791812,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,2.440248511,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2022,2022,PC,Percentage,0,Units,,,9.597511729,,
CPALTT01,Consumer prices: all items,BEL,Belgium,GP,Growth previous period,A,Annual,2023,2023,PC,Percentage,0,Units,,,4.049010776,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,1.865079365,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,0.165562914,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1995,1995,PC,Percentage,0,Units,,,2.148760331,,
CPALTT01,Consumer prices: all items,CAN,Canada,GP,Growth previous period,A,Annual,1996,1996,PC,Percentage,0,Units,,,1.570531125,,
